metric,R_3s,R2_3s,n_3s,R_5s,R2_5s,n_5s,dR2
TNFI_zone_adj_pct,0.7651,0.5854,96,0.7453,0.5555,160,-0.0299
TNFI_pct,0.7651,0.5854,96,0.7453,0.5555,160,-0.0299
HD_CF_pct,0.7354,0.5408,96,0.7169,0.5139,160,-0.0269
MNFI_pct,0.7343,0.5392,96,0.7156,0.5121,160,-0.0271
CNFI_pct,0.7084,0.5019,96,0.6834,0.467,160,-0.0349
P1_NF_F,0.6702,0.4491,96,0.6672,0.4451,160,-0.004
CF_zone_adj_pct,0.6422,0.4124,96,0.6522,0.4254,160,0.013
CF_pct,0.6422,0.4124,96,0.6522,0.4254,160,0.013
P5_OffD,0.626,0.3919,96,0.6079,0.3696,160,-0.0223
P3_OffF,0.5646,0.3188,96,0.5329,0.284,160,-0.0348
FNFI_pct,0.4931,0.2431,96,0.4877,0.2378,160,-0.0053
TNFI_score_adj_pct,0.4972,0.2473,96,0.4603,0.2118,160,-0.0355
TNFI_score_zone_adj_pct,0.4972,0.2473,96,0.4603,0.2118,160,-0.0355
HD_CF_score_adj_pct,0.4489,0.2015,96,0.4107,0.1687,160,-0.0328
HD_CF_score_zone_adj_pct,0.4489,0.2015,96,0.4107,0.1687,160,-0.0328
P6_SvPct,0.3618,0.1309,96,0.3463,0.1199,160,-0.011
P4_DefD,0.397,0.1576,96,0.3063,0.0938,160,-0.0638
CF_score_adj_pct,-0.314,0.0986,96,-0.2631,0.0692,160,-0.0294
CF_score_zone_adj_pct,-0.314,0.0986,96,-0.2631,0.0692,160,-0.0294
P7_SvPct,0.235,0.0552,96,0.2608,0.068,160,0.0128
P2_DefF,-0.0816,0.0067,96,-0.0839,0.007,160,0.0003
