outcome,n,n_pos,var,beta,se,z,p,OR,pseudo_R2
made_playoffs,128,64,intercept,-0.2393,0.2601,-0.92,0.3576,0.787,0.408
made_playoffs,128,64,F_top6_twoway,0.6038,0.4963,1.216,0.2238,1.829,0.408
made_playoffs,128,64,F_bot6_twoway,-0.0863,0.4244,-0.203,0.8389,0.917,0.408
made_playoffs,128,64,D_top4_twoway,-0.2341,0.5141,-0.455,0.6489,0.791,0.408
made_playoffs,128,64,starter_NFI_GSAx_per60,0.8227,0.248,3.317,0.0009,2.277,0.408
made_playoffs,128,64,TNFI_pct,1.9379,0.5824,3.328,0.0009,6.944,0.408
round1_win,128,32,intercept,-1.9332,0.381,-5.074,0.0,0.145,0.288
round1_win,128,32,F_top6_twoway,0.8241,0.5026,1.64,0.1011,2.28,0.288
round1_win,128,32,F_bot6_twoway,-0.1596,0.4045,-0.394,0.6932,0.853,0.288
round1_win,128,32,D_top4_twoway,0.0302,0.516,0.059,0.9533,1.031,0.288
round1_win,128,32,starter_NFI_GSAx_per60,0.6763,0.2952,2.291,0.022,1.967,0.288
round1_win,128,32,TNFI_pct,1.3234,0.5581,2.371,0.0177,3.756,0.288
round2_win,128,16,intercept,-3.3456,0.6675,-5.012,0.0,0.035,0.271
round2_win,128,16,F_top6_twoway,1.2491,0.6534,1.912,0.0559,3.487,0.271
round2_win,128,16,F_bot6_twoway,-0.3882,0.4672,-0.831,0.4059,0.678,0.271
round2_win,128,16,D_top4_twoway,0.8411,0.6502,1.294,0.1958,2.319,0.271
round2_win,128,16,starter_NFI_GSAx_per60,1.2596,0.47,2.68,0.0074,3.524,0.271
round2_win,128,16,TNFI_pct,0.4549,0.6631,0.686,0.4928,1.576,0.271
cf_win,128,8,intercept,-4.2126,0.9126,-4.616,0.0,0.015,0.256
cf_win,128,8,F_top6_twoway,0.8683,0.7645,1.136,0.2561,2.383,0.256
cf_win,128,8,F_bot6_twoway,-0.813,0.6179,-1.316,0.1883,0.444,0.256
cf_win,128,8,D_top4_twoway,0.2031,0.8155,0.249,0.8033,1.225,0.256
cf_win,128,8,starter_NFI_GSAx_per60,0.7859,0.5279,1.489,0.1366,2.194,0.256
cf_win,128,8,TNFI_pct,1.7748,0.9295,1.91,0.0562,5.899,0.256
cup_win,128,4,intercept,-5.4813,1.3966,-3.925,0.0001,0.004,0.315
cup_win,128,4,F_top6_twoway,0.4961,1.0137,0.489,0.6246,1.642,0.315
cup_win,128,4,F_bot6_twoway,-0.8906,0.8856,-1.006,0.3146,0.41,0.315
cup_win,128,4,D_top4_twoway,-1.16,1.2504,-0.928,0.3535,0.313,0.315
cup_win,128,4,starter_NFI_GSAx_per60,1.033,0.7824,1.32,0.1867,2.81,0.315
cup_win,128,4,TNFI_pct,3.2853,1.5016,2.188,0.0287,26.717,0.315
