rank,player_name,position,pos_group,age,es_toi_min,HD_CF,HD_CA,HD_total,HD_CF_pct,ci_low,ci_high
1,Maxim Tsyplakov,RW,F,27,258.0,101,65,166,0.60843,0.53253,0.67943
2,Yakov Trenin,C,F,29,570.0,257,171,428,0.60047,0.55337,0.64578
3,Kasperi Kapanen,RW,F,29,360.7,151,103,254,0.59449,0.53313,0.65303
4,Mathieu Olivier,RW,F,29,413.3,163,112,275,0.59273,0.53377,0.64913
5,Nico Sturm,C,F,30,287.2,119,83,202,0.58911,0.52021,0.65468
6,Trevor Zegras,C,F,25,759.6,309,217,526,0.58745,0.5449,0.62874
7,Alec Regula,D,D,25,241.8,101,71,172,0.58721,0.51251,0.6581
8,Marcus Foligno,LW,F,34,304.7,122,86,208,0.58654,0.51863,0.6513
9,Danton Heinen,LW,F,30,292.8,115,84,199,0.57789,0.50843,0.6444
10,Marcus Johansson,LW,F,35,540.4,228,168,396,0.57576,0.52658,0.62348
11,Adam Erne,LW,F,31,261.1,100,74,174,0.57471,0.50042,0.64578
12,Nick Paul,LW,F,31,394.8,135,100,235,0.57447,0.51055,0.63599
13,Jake Middleton,D,D,30,668.2,290,216,506,0.57312,0.52963,0.61551
14,Nick Seeler,D,D,32,741.0,300,225,525,0.57143,0.52873,0.61309
15,Leon Draisaitl,C,F,30,563.8,249,187,436,0.5711,0.52422,0.61674
16,Danila Yurov,RW,F,22,501.4,211,159,370,0.57027,0.51936,0.61974
17,Ilya Lyubushkin,D,D,32,426.4,167,126,293,0.56997,0.51273,0.62539
18,Michael McCarron,C,F,31,567.6,217,164,381,0.56955,0.51938,0.61833
19,David Perron,LW,F,37,442.0,150,114,264,0.56818,0.50787,0.62653
20,Patrick Kane,RW,F,37,619.8,239,182,421,0.5677,0.51997,0.6142
21,Zach Bogosian,D,D,35,393.0,170,130,300,0.56667,0.5101,0.62155
22,Vladimir Tarasenko,RW,F,34,601.2,265,203,468,0.56624,0.52098,0.61042
23,Travis Sanheim,D,D,30,976.2,373,286,659,0.56601,0.52789,0.60336
24,Valeri Nichushkin,RW,F,31,617.0,254,195,449,0.5657,0.51949,0.6108
25,Moritz Seider,D,D,25,1052.0,393,304,697,0.56385,0.52678,0.60021
26,Jack Eichel,C,F,29,730.8,257,199,456,0.5636,0.51773,0.6084
27,Jared Spurgeon,D,D,36,729.1,298,232,530,0.56226,0.51973,0.6039
28,Jeff Petry,D,D,38,485.2,195,152,347,0.56196,0.50936,0.6132
29,Brady Tkachuk,LW,F,26,606.7,254,198,452,0.56195,0.51587,0.60697
30,Tyson Foerster,RW,F,24,200.2,82,64,146,0.56164,0.4806,0.63953
31,Jonas Brodin,D,D,32,642.4,249,195,444,0.56081,0.51432,0.60626
32,Alex DeBrincat,RW,F,28,785.1,303,238,541,0.56007,0.51797,0.60133
33,Mark Stone,RW,F,33,648.3,199,157,356,0.55899,0.50705,0.60966
34,Garnet Hathaway,RW,F,34,334.9,114,90,204,0.55882,0.49022,0.62525
35,Barrett Hayton,C,F,25,423.6,158,126,284,0.55634,0.49819,0.61299
36,Dylan Cozens,C,F,25,688.6,248,198,446,0.55605,0.50966,0.60149
37,Josh Norris,C,F,26,460.3,166,133,299,0.55518,0.49851,0.61046
38,Gabriel Landeskog,LW,F,33,499.1,213,171,384,0.55469,0.50468,0.60361
39,Owen Tippett,RW,F,27,679.4,258,208,466,0.55365,0.50826,0.59816
40,Simon Edvinsson,D,D,23,943.4,377,305,682,0.55279,0.51528,0.5897
41,Nick Bjugstad,C,F,33,378.1,148,120,268,0.55224,0.49238,0.61062
42,Cam York,D,D,25,778.0,272,221,493,0.55172,0.50759,0.59506
43,Ryan Winterton,C,F,22,408.9,166,135,301,0.5515,0.49501,0.60668
44,Josh Doan,RW,F,24,677.8,252,205,457,0.55142,0.50558,0.5964
45,Travis Konecny,RW,F,29,723.7,276,225,501,0.5509,0.50712,0.5939
46,Darnell Nurse,D,D,31,909.8,388,317,705,0.55035,0.51346,0.5867
47,Jacob Trouba,D,D,32,906.2,399,326,725,0.55034,0.51396,0.5862
48,Zach Hyman,LW,F,33,578.8,288,236,524,0.54962,0.50681,0.5917
49,Shane Wright,C,F,22,477.9,189,155,344,0.54942,0.49658,0.60116
50,Cole Caufield,RW,F,25,756.8,295,242,537,0.54935,0.50706,0.59093
