rank,player_name,position,pos_group,age,es_toi_min,onice_CMNFI_for,onice_total_fenwick,pct,ci_low,ci_high,small_sample_flag
1,Alexander Nikishin,D,D,24,770.4,235,1051,0.2236,0.19944,0.24977,Y
2,Auston Matthews,C,F,28,5452.9,1603,7192,0.22289,0.21342,0.23265,N
3,Jesper Fast,RW,F,34,2839.3,873,3947,0.22118,0.20851,0.2344,N
4,Connor McDavid,C,F,29,6331.4,1904,8658,0.21991,0.21131,0.22876,N
5,Zach Hyman,LW,F,33,5621.9,1692,7742,0.21855,0.20948,0.22789,N
6,Ben Kindel,C,F,19,603.7,180,824,0.21845,0.19158,0.24793,Y
7,Matthew Tkachuk,LW,F,28,4792.6,1452,6753,0.21502,0.20538,0.22497,N
8,Mitch Marner,RW,F,28,5815.6,1511,7057,0.21411,0.2047,0.22384,N
9,William Carrier,LW,F,31,2618.8,814,3822,0.21298,0.20029,0.22624,N
10,Patrice Bergeron,C,F,40,2115.5,613,2886,0.2124,0.19787,0.2277,N
11,Jordan Staal,C,F,37,4845.6,1317,6247,0.21082,0.20089,0.22111,N
12,Paul Stastny,C,F,40,1764.2,526,2516,0.20906,0.19362,0.22539,Y
13,Jason Robertson,LW,F,26,5700.4,1539,7407,0.20778,0.19869,0.21717,N
14,Evan Bouchard,D,D,26,6717.5,1898,9180,0.20675,0.19859,0.21516,N
15,Roope Hintz,C,F,29,4644.8,1237,6004,0.20603,0.19599,0.21645,N
16,Jackson Blake,RW,F,22,1590.0,445,2164,0.20564,0.18914,0.22318,Y
17,Gabriel Landeskog,LW,F,33,1382.5,389,1906,0.20409,0.1866,0.22277,Y
18,Alexander Edler,D,D,40,1485.1,439,2174,0.20193,0.18559,0.21933,Y
19,Jordan Martinook,LW,F,33,4310.4,1200,5961,0.20131,0.19132,0.21168,N
20,Sam Bennett,C,F,29,4531.3,1345,6687,0.20114,0.1917,0.21091,N
21,Seth Jarvis,C,F,24,4795.3,1261,6303,0.20006,0.19037,0.21012,N
22,Mattias Ekholm,D,D,35,6306.6,1697,8486,0.19998,0.1916,0.20862,N
23,Brandon Hagel,LW,F,27,5531.0,1435,7179,0.19989,0.1908,0.2093,N
24,Andrew Mangiapane,LW,F,30,4442.7,1256,6286,0.19981,0.19011,0.20988,N
25,Beckett Sennecke,RW,F,20,711.5,208,1041,0.19981,0.17664,0.22518,Y
26,Mark Jankowski,LW,F,31,2106.0,567,2843,0.19944,0.18516,0.21453,N
27,Jake Guentzel,C,F,31,5762.9,1619,8122,0.19934,0.19079,0.20816,N
28,Warren Foegele,LW,F,30,4244.4,1216,6108,0.19908,0.18926,0.20929,N
29,Logan Mailloux,D,D,23,802.5,218,1097,0.19872,0.17618,0.22337,Y
30,Nathan MacKinnon,C,F,30,6339.4,1774,8934,0.19857,0.19043,0.20697,N
31,Dylan Coghlan,D,D,28,1023.9,297,1496,0.19853,0.1791,0.2195,Y
32,Ethan Bear,D,D,28,2128.3,578,2915,0.19828,0.18421,0.21315,N
33,Tommy Novak,C,F,28,3004.2,835,4214,0.19815,0.18639,0.21046,N
34,Miro Heiskanen,D,D,26,6471.9,1623,8207,0.19776,0.18928,0.20652,N
35,Logan Stankoven,C,F,23,1934.0,557,2817,0.19773,0.18344,0.21284,Y
36,Sidney Crosby,C,F,38,5852.4,1665,8422,0.1977,0.18933,0.20634,N
37,Evgeni Malkin,C,F,39,4481.8,1193,6040,0.19752,0.18767,0.20775,N
38,Derek Stepan,C,F,35,1146.5,338,1712,0.19743,0.17926,0.21695,Y
39,Leon Draisaitl,C,F,30,6061.4,1618,8202,0.19727,0.1888,0.20602,N
40,Jaccob Slavin,D,D,31,6326.6,1729,8774,0.19706,0.18887,0.20551,N
41,Artturi Lehkonen,LW,F,30,4310.0,1159,5884,0.19697,0.18701,0.20733,N
42,Michael Bunting,LW,F,30,4782.8,1351,6877,0.19645,0.18723,0.20601,N
43,Nikita Kucherov,RW,F,32,5683.8,1498,7626,0.19643,0.18767,0.2055,N
44,Sebastian Aho,C,F,28,5446.0,1387,7062,0.1964,0.1873,0.20583,N
45,Jesper Bratt,LW,F,27,5495.6,1474,7533,0.19567,0.18687,0.20479,N
46,Carter Verhaeghe,C,F,30,5289.5,1500,7680,0.19531,0.1866,0.20433,N
47,Jesse Puljujarvi,RW,F,27,2247.6,662,3390,0.19528,0.18228,0.20897,N
48,Brendan Gallagher,RW,F,33,3480.9,956,4901,0.19506,0.18421,0.20639,N
49,Andrei Svechnikov,RW,F,26,4550.6,1273,6527,0.19504,0.1856,0.20483,N
50,Devon Toews,D,D,32,6913.8,1834,9421,0.19467,0.1868,0.20279,N
